Rocky Fresh, 42.249525, -73.688099, (518) 672-5623
Brookby Farm, 41.684201, -73.579451, (845) 849-5461
Gallus Goat Farms, 42.553063, -73.938025, (518) 423-8626
Sunny Cove Farm, 42.237037, -77.810083, (607) 587-9282
Chicory Farm, 42.897441, -77.444630, (585) 764-7036
Black Walnut Farm, 42.381910, -74.162368, (518) 239-6206
Lady Liberty Farm, 42.521927, -74.199748, (518) 797-3373
Meadowsweet Farm, 42.581102, -76.829024, (607) 582-6954
Smoke Ridge Organics, 42.843388, -77.516172, (585) 229-7424
Adobe Farm, 42.443260, -73.378917, (914) 610-0073
Breese Hollow Dairy, 42.859134, -73.295755, (518) 686-4044
Bush Gardens, 44.072813, -75.488347, (315) 783-6745
Cranberry Ridge Farm, 43.408841, -75.894115, (315) 964-9900
Hawthorne Valley Farm, 42.270886, -73.595102, Not Listed
Donahue Family Farm, 44.400285, -75.471778, (315) 287-2296
Par5 Livestock, 34.300124, -86.955845, (256) 736-3051
North Wind Farm, 61.667654, -149.368415, (907) 841-1958
Cluck and Hop Farm, 34.589794, -111.869271, (928) 642-0123
Fiore de Capra, 31.998723, -110.285966, (520) 586-2081
Oddballz Farm, 32.086847, -111.289881, (520) 599-4073
7 Grace Family Farm, 31.592897, -109.712996, (520) 678-6677
Broken Lariat Ranch, 31.979779, -110.268822, (520) 720-7635
Foote's Hold Dairy, 32.926262, -110.731939, (520) 668-5676
Save Your Dairy, 33.218726, -111.720672, (480) 575-8499
